Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
equinox-l-shaped-office-desk,Equinox L-Shaped Office Desk - Available in 8 Colours,Colour,Walnut Grey & Slate,,,,,115855-003559,,,-50
equinox-l-shaped-office-desk,Equinox L-Shaped Office Desk - Available in 8 Colours,Colour,Walnut Grey & White,,,,,115855-003517,,,-50
equinox-l-shaped-office-desk,Equinox L-Shaped Office Desk - Available in 8 Colours,Colour,Deep Grey & Slate,,,,,115855-003259,,,-50
equinox-l-shaped-office-desk,Equinox L-Shaped Office Desk - Available in 8 Colours,Colour,Deep Grey & White,,,,,115855-003217,,,-50
equinox-l-shaped-office-desk,Equinox L-Shaped Office Desk - Available in 8 Colours,Colour,White & Walnut grey,,,,,115855-001735,,,-50
equinox-l-shaped-office-desk,Equinox L-Shaped Office Desk - Available in 8 Colours,Colour,White & Deep Grey,,,,,115855-001732,,,-50
pro-concept-plus-desk-hutch-with-frosted-glass-doors-white,Pro-Concept Plus Desk Hutch with Frosted Glass Doors - Available in 2 Colours,Colour,White,,,,,110523-1117,,,0
maia-tv-stand-white,Maia TV Stand - White,Colour,White,,,,,102201-000001,,,194
perse-tv-stand-smoky-grey,Perse TV Stand - Smoky Grey,Colour,Smoky Grey,,,,,102200-000029,,,330
heka-end-table-buffalo-brown,Heka End Table - Buffalo Brown,Colour,Buffalo Brown,,,,,101160-000004,,,646
pro-biz-6-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 6-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,High,,,100873DR-17,,,0
pro-biz-6-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 6-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,Low,,,100873CR-17,,,0
pro-biz-6-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 6-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,High,,,100873DG-17,,,0
pro-biz-6-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 6-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,Low,,,100873CG-17,,,0
pro-biz-6-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 6-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White,Height,High,,,100873D-17,,,0
pro-biz-3-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 3-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Size,High,,,100872DR-17,,,0
pro-biz-3-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 3-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Size,Low,,,100872CR-17,,,0
pro-biz-3-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 3-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Size,High,,,100872DG-17,,,0
pro-biz-3-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 3-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Size,Low,,,100872CG-17,,,0
pro-biz-3-person-office-cubicles-with-low-privacy-panels-white,Pro-Biz 3-Person Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White,Size,High,,,100872D-17,,,0
pro-biz-single-office-cubicle-with-low-privacy-panels-white,Pro-Biz Single Office Cubicle - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,High,,,100871DR-17,,,0
pro-biz-single-office-cubicle-with-low-privacy-panels-white,Pro-Biz Single Office Cubicle - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,Low,,,100871CR-17,,,0
pro-biz-single-office-cubicle-with-low-privacy-panels-white,Pro-Biz Single Office Cubicle - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,High,,,100871DG-17,,,0
pro-biz-single-office-cubicle-with-low-privacy-panels-white,Pro-Biz Single Office Cubicle - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,Low,,,100871CG-17,,,0
pro-biz-single-office-cubicle-with-low-privacy-panels-white,Pro-Biz Single Office Cubicle - Available in 3 Colours and 2 Heights,Colour,White,Height,High,,,100871D-17,,,0
pro-biz-two-face-to-face-office-cubicles-with-low-privacy-panels-white,Pro-Biz Two Face-to-Face Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,High,,,100870DR-17,,,0
pro-biz-two-face-to-face-office-cubicles-with-low-privacy-panels-white,Pro-Biz Two Face-to-Face Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,Low,,,100870CR-17,,,0
pro-biz-two-face-to-face-office-cubicles-with-low-privacy-panels-white,Pro-Biz Two Face-to-Face Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,High,,,100870DG-17,,,0
pro-biz-two-face-to-face-office-cubicles-with-low-privacy-panels-white,Pro-Biz Two Face-to-Face Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,Low,,,100870CG-17,,,0
pro-biz-two-face-to-face-office-cubicles-with-low-privacy-panels-white,Pro-Biz Two Face-to-Face Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White,Height,High,,,100870D-17,,,0
pro-biz-4-person-closed-office-cubicles-with-low-privacy-panels-white,Pro-Biz 4-Person Closed Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,High,,,100859DR-17,,,0
pro-biz-4-person-closed-office-cubicles-with-low-privacy-panels-white,Pro-Biz 4-Person Closed Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,High,,,100859DG-17,,,0
pro-biz-4-person-closed-office-cubicles-with-low-privacy-panels-white,Pro-Biz 4-Person Closed Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Red,Height,Low,,,100859CR-17,,,0
pro-biz-4-person-closed-office-cubicles-with-low-privacy-panels-white,Pro-Biz 4-Person Closed Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White with Grey,Height,Low,,,100859CG-17,,,0
pro-biz-4-person-closed-office-cubicles-with-low-privacy-panels-white,Pro-Biz 4-Person Closed Office Cubicles - Available in 3 Colours and 2 Heights,Colour,White,Height,High,,,100859D-17,,,0
pro-biz-4-person-office-cubicles-with-rounded-corners-and-low-privacy-panels-white,Pro-Biz 4-Person Office Cubicles with Rounded Corners in White - Available in 2 Heights,Colour,White,Height,High,,,100858B-17,,,0
