Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
walker-edison-58-inch-columbus-tv-stand,"58"" Columbus Rustic TV Stand - Available in 3 Colours",Colour,Dark Walnut,,,,,W58CO2DDW,,,0
walker-edison-caroline-modern-geometric-nesting-coffee-table-set,Caroline Modern Geometric Nesting Coffee Table Set - Available in 2 Colours,Colour,Glass/Black,,,,,AF28CLRGGBL,,,106
walker-edison-caroline-modern-geometric-nesting-coffee-table-set,Caroline Modern Geometric Nesting Coffee Table Set - Available in 2 Colours,Colour,Glass/Gold,,,,,AF28CLRGGGD,,,0
walker-edison-61-inch-x-frame-metal-tall-wood-bookcase,"61"" X-Frame Metal Tall Wood Bookcase - Available in 5 Colours",Colour,Rustic Oak,,,,,BST18XMWRO,,,35
walker-edison-61-inch-x-frame-metal-tall-wood-bookcase,"61"" X-Frame Metal Tall Wood Bookcase - Available in 5 Colours",Colour,Dark Walnut,,,,,BST18XMWDW,,,0
walker-edison-61-inch-x-frame-metal-tall-wood-bookcase,"61"" X-Frame Metal Tall Wood Bookcase - Available in 5 Colours",Colour,Barnwood,,,,,BST18XMWBW,,,42
walker-edison-61-inch-x-frame-metal-tall-wood-bookcase,"61"" X-Frame Metal Tall Wood Bookcase - Available in 5 Colours",Colour,Driftwood,,,,,BST18XMWAG,,,0
walker-edison-61-inch-x-frame-metal-tall-wood-bookcase,"61"" X-Frame Metal Tall Wood Bookcase - Available in 5 Colours",Colour,Grey Wash,,,,,BST18XMWGW,,,25
walker-edison-51-inch-x-frame-modern-corner-computer-desk-in-white,"51"" X-Frame Modern Corner Computer Desk in White",Title,Default Title,,,,,D51X29WH,,,0
walker-edison-angle-iron-industrial-wood-dining-chairs-set-of-2,Angle Iron Industrial Wood Dining Chairs (Set of 2) - Available in 4 Colours,Colour,Grey Wash,,,,,CH18AI2GW,,,80
walker-edison-angle-iron-industrial-wood-dining-chairs-set-of-2,Angle Iron Industrial Wood Dining Chairs (Set of 2) - Available in 4 Colours,Colour,Dark Walnut,,,,,CH18AI2DW,,,26
walker-edison-angle-iron-industrial-wood-dining-chairs-set-of-2,Angle Iron Industrial Wood Dining Chairs (Set of 2) - Available in 4 Colours,Colour,Barnwood,,,,,CH18AI2BW,,,36
walker-edison-angle-iron-industrial-wood-dining-chairs-set-of-2,Angle Iron Industrial Wood Dining Chairs (Set of 2) - Available in 4 Colours,Colour,Driftwood,,,,,CH18AI2AG,,,40
walker-edison-58-inch-sliding-barn-door-modern-farmhouse-wood-tv-stand,"58"" Sliding Barn Door Modern Farmhouse Wood TV Stand - Available in 4 Colours",Colour,Grey Wash,,,,,W58SBDGW,,,0
walker-edison-58-inch-sliding-barn-door-modern-farmhouse-wood-tv-stand,"58"" Sliding Barn Door Modern Farmhouse Wood TV Stand - Available in 4 Colours",Colour,Solid White Oak,,,,,W58SBDWOS,,,35
walker-edison-58-inch-sliding-barn-door-modern-farmhouse-wood-tv-stand,"58"" Sliding Barn Door Modern Farmhouse Wood TV Stand - Available in 4 Colours",Colour,Rustic Oak,,,,,W58SBDRO,,,0
walker-edison-58-inch-sliding-barn-door-modern-farmhouse-wood-tv-stand,"58"" Sliding Barn Door Modern Farmhouse Wood TV Stand - Available in 4 Colours",Colour,White/Rustic Oak,,,,,W58SBDSW,,,31
walker-edison-72-inch-arlo-industrial-ladder-bookcase,"72"" Arlo Industrial Ladder Bookcase - Available in 3 Colours",Colour,Mocha,,,,,BS72ARLDMO,,,0
walker-edison-72-inch-arlo-industrial-ladder-bookcase,"72"" Arlo Industrial Ladder Bookcase - Available in 3 Colours",Colour,Reclaimed Barnwood,,,,,BS72ARLDRO,,,115
walker-edison-72-inch-arlo-industrial-ladder-bookcase,"72"" Arlo Industrial Ladder Bookcase - Available in 3 Colours",Colour,Grey Wash,,,,,BS72ARLDGW,,,53
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Grey Wash/White Metal,,,,,BS60XMWGWW,,,0
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Rustic Oak,,,,,BS60XMWRO,,,0
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Rustic Oak/White Metal,,,,,BS60XMWROW,,,19
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Grey Wash,,,,,BS60XMWGW,,,0
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Dark Walnut,,,,,BS60XMWDW,,,70
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Driftwood,,,,,BS60XMWAG,,,47
walker-edison-60-inch-x-frame-bookcase,"60"" X-frame Industrial Bookcase - Available in 7 Colours",Colour,Barnwood,,,,,BS60XMWBW,,,95
walker-edison-metal-x-rustic-wood-side-table,Metal X Rustic Wood Side Table - Available in 4 Colours,Colour,Dark Walnut,,,,,AF18MXSTDW,,,0
