SKU,DESCRIPTION,DIMENSIONS (W X D X H),WGT,PRICE CND,
SAF-P-TWN-XX,TWIN SAFFRON COMPLETE BED (P-SERIES),(Bed) 42.4 x 76 x 45.3,104.6,$272.00,
PH-SAF-TWN-XX,Saffron Twin Headboard,(Box 1) 45.6 x 48.4 x 4.5,46.3,$132.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
SAF-P-FUL-XX,FULL SAFFRON COMPLETE BED (P-SERIES),(Bed) 57.3 x 76 x 45.3,124.6,$325.00,
PH-SAF-FUL-XX,Saffron Full Headboard,(Box 1) 47 x 61.2 x 4.7,52.9,$163.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
SAF-P-QEN-XX,QUEEN SAFFRON COMPLETE BED (P-SERIES),(Bed) 63.3 x 80.6 x 45.3,138.9,$372.00,
PH-SAF-QEN-XX,Saffron Queen Headboard,(Box 1) 47 x  67.3 x 4.7,57.3,$195.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
SAF-P-EKG-XX,EASTERN KING SAFFRON COMPLETE BED (P-SERIES),(Bed) 79.4 x 80.6 x 45.3,173.1,$419.00,
PH-SAF-EKG-XX,Saffron Eastern King Headboard,(Box 1) 47.8 x 84.4 x 4.7,71.7,$219.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
THY-P-TWN-XX,TWIN THYME COMPLETE BED (P-SERIES),(Bed) 45.4 x 76 x 34.3,82.6,$238.00,
PH-THY-TWN-XX,Thyme Twin Headboard,(Box 1) 36.6 x 49.4 x 4.3,24.3,$98.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
THY-P-FUL-XX,FULL THYME COMPLETE BED (P-SERIES),(Bed) 60.4 x 76 x 34.3,102.6,$284.00,
PH-THY-FUL-XX,Thyme Full Headboard,(Box 1) 36.6 x 64.2 x 4.3,30.9,$122.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
THY-P-QEN-XX,QUEEN THYME COMPLETE BED (P-SERIES),(Bed) 66.3 x 80.6 x 34.3,114.7,$310.00,
PH-THY-QEN-XX,Thyme Queen Headboard,(Box 1) 36.6 x 70.3 x 4.3,33.1,$133.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
THY-P-EKG-XX,EASTERN KING THYME COMPLETE BED (P-SERIES),(Bed) 82.4 x 80.6 x 34.3,141.1,$347.00,
PH-THY-EKG-XX,Thyme Eastern King Headboard,(Box 1) 36.6 x 87.8 x 4.3,39.7,$147.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
SOL-P-TWN-XX,TWIN SOLSTICE COMPLETE BED (P-SERIES),(Bed) 45.7 x 76 x 43.6,104.6,$306.00,
PH-SOL-TWN-XX,Solstice Twin Headboard - Dual Series,(Box 1) 46.9 x 49 x 4.0,46.3,$166.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
SOL-P-FUL-XX,FULL SOLSTICE COMPLETE BED (P-SERIES),(Bed) 60.7 x 76 x 43.6,126.8,$368.00,
PH-SOL-FUL-XX,Solstice Full Headboard - Dual Series,(Box 1) 46.9 x 64 x 4,55.1,$206.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
SOL-P-QEN-XX,QUEEN SOLSTICE COMPLETE BED (P-SERIES),(Bed) 66.7 x 80.6 x 43.6,138.9,$403.00,
PH-SOL-QEN-XX,Solstice Queen Headboard - Dual Series,(Box 1) 46.9 x 69.9 x 4,57.3,$226.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
SOL-P-EKG-XX,EASTERN KING SOLSTICE COMPLETE BED (P-SERIES),(Bed) 82.7 x 80.6 x 43.6,169.7,$489.00,
PH-SOL-EKG-XX,Solstice Eastern King Headboard - Dual Series,(Box 1) 46.9 x 88 x 4,68.3,$289.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
SOL-K-TWN-XX,TWIN SOLSTICE COMPLETE BED (K-SERIES),(Bed) 45.7 x 76 x 43.6,104.6,$322.00,
PH-SOL-TWN-XX,Solstice Twin Headboard - Dual Series,(Box 1) 46.9 x 49 x 4.0,46.3,$166.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
SOL-K-FUL-XX,FULL SOLSTICE COMPLETE BED (K-SERIES),(Bed) 60.7 x 76 x 43.6,129,$392.00,
PH-SOL-FUL-XX,Solstice Full Headboard - Dual Series,(Box 1) 46.9 x 64 x 4,55.1,$206.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
SOL-K-QEN-XX,QUEEN SOLSTICE COMPLETE BED (K-SERIES),(Bed) 66.7 x 80.6 x 43.6,145.6,$430.00,
PH-SOL-QEN-XX,Solstice Queen Headboard - Dual Series,(Box 1) 46.9 x 69.9 x 4,57.3,$226.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 2) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
SOL-K-EKG-XX,EASTERN KING SOLSTICE COMPLETE BED (K-SERIES),(Bed) 82.7 x 80.6 x 43.6,179.7,$514.00,
PH-SOL-EKG-XX,Solstice Eastern King Headboard - Dual Series,(Box 1) 46.9 x 88 x 4,68.3,$289.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 2) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
TAM-P-TWN-XX,TWIN TAMARIND COMPLETE BED (P-SERIES),(Bed) 42.4 x 76 x 48,104.6,$276.00,
KH-TAM-TWN-XX,Tamarind Twin Headboard - Dual Series,(Box 1) 50 x 44.5 x 2.4,46.3,$136.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
TAM-P-FUL-XX,FULL TAMARIND COMPLETE BED (P-SERIES),(Bed) 57.3 x 76 x 48,131.2,$330.00,
KH-TAM-FUL-XX,Tamarind Full Headboard - Dual Series,(Box 1) 50 x 59.6 x 2.4,59.5,$168.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
TAM-P-QEN-XX,QUEEN TAMARIND COMPLETE BED (P-SERIES),(Bed) 63.3 x 80.6 x 48,143.3,$382.00,
KH-TAM-QEN-XX,Tamarind Queen Headboard - Dual Series,(Box 1) 50 x 65.4 x 2.4,61.7,$205.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
TAM-P-EKG-XX,EASTERN KING TAMARIND COMPLETE BED (P-SERIES),(Bed) 79.4 x 80.6 x 48,176.4,$430.00,
KH-TAM-EKG-XX,Tamarind Eastern King Headboard - Dual Series,(Box 1) 50 x 81.8 x 2.4,75,$230.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
TAM-K-TWN-XX,TWIN TAMARIND COMPLETE BED (K-SERIES),(Bed) 42.4 x 76 x 48,104.6,$292.00,
KH-TAM-TWN-XX,Tamarind Twin Headboard - Dual Series,(Box 1) 50 x 44.5 x 2.4,46.3,$136.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
TAM-K-FUL-XX,FULL TAMARIND COMPLETE BED (K-SERIES),(Bed) 57.3 x 76 x 48,133.4,$354.00,
KH-TAM-FUL-XX,Tamarind Full Headboard - Dual Series,(Box 1) 50 x 59.6 x 2.4,59.5,$168.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
TAM-K-QEN-XX,QUEEN TAMARIND COMPLETE BED (K-SERIES),(Bed) 63.3 x 80.6 x 16.3,150,$409.00,
KH-TAM-QEN-XX,Tamarind Queen Headboard - Dual Series,(Box 1) 50 x 65.4 x 2.4,61.7,$205.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 2) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
TAM-K-EKG-XX,EASTERN KING TAMARIND COMPLETE BED (K-SERIES),(Bed) 79.4 x 80.6 x 48,186.4,$455.00,
KH-TAM-EKG-XX,Tamarind Eastern King Headboard - Dual Series,(Box 1) 50 x 81.8 x 2.4,75,$230.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 2) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
TAR-P-TWN-XX,TWIN TARRAGON COMPLETE BED (P-SERIES),(Bed) 48.6 x 76 x 50,93.6,$285.00,
PH-TAR-TWN-XX,Tarragon Twin Headboard,(Box 1) 34.3 x  51.2 x 2.6,35.3,$129.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
TAR-P-FUL-XX,FULL TARRAGON COMPLETE BED (P-SERIES),(Bed) 68.2 x 76 x 50,118,$374.00,
PH-TAR-FUL/QEN-XX,Tarragon Full/Qen Headboard,(Box 1) 34.3 x 70.9 x  2.6,46.3,$188.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
TAR-P-QEN-XX,QUEEN TARRAGON COMPLETE BED (P-SERIES),(Bed) 68.2 x 76 x 50,127.9,$392.00,
PH-TAR-FUL/QEN-XX,Tarragon Full/Queen Headboard,(Box 1) 34.3 x 70.9 x  2.6,46.3,$188.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
TAR-P-EKG-XX,EASTERN KING TARRAGON COMPLETE BED (P-SERIES),(Bed) 84.3 x 80.6 x 50,153.2,$450.00,
PH-TAR-EKG-XX,Tarragon Eastern King Headboard,(Box 1) 34.3 x 87 x 2.6,51.8,$225.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
TAR-K-TWN-XX,TWIN TARRAGON COMPLETE BED (K-SERIES),(Bed) 48.6 x 76 x 50,93.6,$285.00,
PH-TAR-TWN-XX,Tarragon Twin Headboard,(Box 1) 34.3 x  51.2 x 2.6,35.3,$129.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 41.3 x  4.5,20.9,$38.00,
,,,,,
TAR-K-FUL-XX,FULL TARRAGON COMPLETE BED (K-SERIES),(Bed) 68.2 x 76 x 50,120.2,$374.00,
PH-TAR-FUL-XX,Tarragon Full Headboard,(Box 1) 34.3 x 70.9 x  2.6,46.3,$188.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x 56.3 x  4.5,27.6,$48.00,
,,,,,
TAR-K-QEN-XX,QUEEN TARRAGON COMPLETE BED (K-SERIES),(Bed) 68.2 x 76 x 50,134.6,$392.00,
PH-TAR-QEN-XX,Tarragon Queen Headboard,(Box 1) 34.3 x 70.9 x  2.6,46.3,$188.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 2) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
TAR-K-EKG-XX,EASTERN KING TARRAGON COMPLETE BED (K-SERIES),(Bed) 84.3 x 80.6 x 50,163.2,$450.00,
PH-TAR-EKG-XX,Tarragon Eastern King Headboard,(Box 1) 34.3 x 87 x 2.6,51.8,$225.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 2) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
LBD-FUL-XX,"Standard Full Drawers Set ""P"" Series",(Drawer) 75.1 x 20.5 x 9.7,37.5,$96.00,
,,(Box) 25.6 x 43.3 x 3.1,,,
,,,,,
LBD-QEN-XX,"Standard Queen Drawers Set ""P"" Series",(Drawer) 80.5 x 20.5 x 9.7,41.9,$102.00,
,,(Box) 25.6 x 43.3 x 3.1,,,
,,,,,
PDR-TWN/FUL-XX,"Twin and Full Drawers for ""K"" Series Beds",(Drawer) 75.7 x 20.6 x 13.7,52.9,$153.00,
,,(Box) 20.2 x 41.8 x 4.9,,,
,,,,,
PDR-QEN/EKG-XX,"Queen and King Drawers for ""K"" Series Beds",(Drawer) 80.2 x 20.6 x 13.7,61.7,$168.00,
,,(Box) 20.2 x 44.1 x 6.1,,,
,,,,,
CD-CLO-HNS-XX,Hook On Nightstand,(NS) 18.3 x 15.7 x 23.5,19.8,$71.00,
,,(Box) 17.3 x 26.2 x 5.9,,,
,,,,,
,,,,,
,,,,,
PHADAPT-XX,Headboard Adaptor Plate,(Adapter) 15 x 7 x 2,4,$20.00,
,,,,,
,,,,,
,,,,,
PF-FFB-TWN-XX,Folding Bench Footboard Twin,(FFB) 43.9 x 10.2 x 18.5,34.2,$109.00,
,,(Box) 22.2 x 47 x 5.1,,,
PF-FFB-FULL-XX,Folding Bench Footboard Full,(FFB) 58.8 x 10.2 x 18.5,41.9,$126.00,
,,(Box) 22.2 x 61.8 x 5.1,,,
PF-FFB-QEN-XX,Folding Bench Footboard Queen,(FFB) 64.8 x 10.2 x 18.5,45.2,$137.00,
,,(Box) 22.2 x 67.9 x 5.1,,,
,,,,,
PF-FFB-EKG-XX,Folding Bench Footboard E King,(FFB) 80.9 x 10.2 x 18.5,57.3,$177.00,
,,,,,
PP-TWN-XX,Twin Privacy Panel,(Box) 9.1 x 41.5 x 1.4,3.3,$14.00,
,,,,,
PP-FUL-XX,Full Privacy Panel,(Box) 9.1 x 56.5 x 1.4,5.5,$19.00,
,,,,,
PP-QEN-XX,Queen Privacy Panel,(Box) 9.1 x 62 x 1.4,6.6,$21.00,
,,,,,
PP-EKG-XX,King Privacy Panel,(Box) 9.1 x 80.3 x 1.4,8.8,$27.00,
,,,,,
,,,,,
GIN-TWN-LFT-XX,Ginger Twin Loft Complete,(LoFT) 83 x 43 x 77.6,145.5,$510.00,
LBH-GIN-TWN-XX,Ginger Twin Loft Bunk Head/Foot,(Box 1) 27.6 x 47 x 4.7,57.3,$144.00,
LBR-GIN-TWN-XX,Ginger Twin Loft Bunk Rails/Ladder,(Box 2) 26.4 x 79.9 x 7.9,88.2,$229.00,
LBP-GIN-TWN/FUL-XX,Ginger Loft Posts,(Box 3) 10.4 x 80.3 x 3,44.1,$84.00,
LBS-TWN,Ginger Loft Twin Slat Set,(Box 4) 11.6 x 40.7 x 5.3,28.7,$53.00,
,,,,,
GIN-FUL-LFT-XX,Ginger Full Loft Complete,(LoFT) 83 x 59.1 x 77.6,169.8,$596.00,
LBH-GIN-FUL-XX,Ginger Full Loft Bunk Head/Foot,(Box 1) 27.4 x 63.6 x 6.3,77.2,$193.00,
LBR-GIN-FUL-XX,Ginger Full Loft Bunk Rails/Ladder,(Box 2) 26.4 x 79.9 x 7.9,92.6,$247.00,
LBP-GIN-TWN/FUL-XX,Ginger Loft Posts,(Box 3) 10.4 x 80.3 x 3,44.1,$84.00,
LBS-FUL,Ginger Loft Full Slat Set,(Box 4) 11.2 x 57.1 x 5.3,37.5,$72.00,
,,,,,
LBD-GIN-CUR-TWN-XX,Ginger Twin Loft Curvy Desk,(Box 1) 32.7 x 41.5 x 2.4,28.7,$71.00,
,,,,,
LBD-GIN-CUR-FUL-XX,Ginger Full Loft Curvy Desk,(Box 1) 32.7 x 57.7 x 2.4,41.9,$92.00,
,,,,,
LBD-GIN-STR-TWN/FUL-XX,Ginger Loft Straight Desk,(Box 1) 27 x 81.3 x 3.1,57.3,$92.00,
,,,,,
CIN-T/T-XX,CINNAMON TWIN/TWIN BUNK,(Bed) 79.9 x 41.5 x 67.9,216.1,$447.00,
PBH-RR-CIN-XX,Twin/Twin Headboard and Footboard Cinnamon,(Box 1) 38.4 x 46.3 x 6.7,94.8,$185.00,
PBR-RR-XX,Rails/Ladder Twin/Twin Cinnamon Bunk,(Box 2) 20.1 x 78.1 x 8.3,80.5,$185.00,
PBS-XX,Slats fot Twin/Twin Cinnamon Bunk,(Box 3) 9.6 x 40.2 x 8.7,40.8,$77.00,
,,,,,
CIN-T/FN-XX,CINNAMON TWIN/FUTON BUNK,(Bed) 79.38 x 41.38 x 69,249.1,$617.00,
SFBH-RR-CIN-XX,Headboard/Footboard Cinnamon Futon Bunk,(Box 1) 39.4 x 44.9 x 8.7,90.4,$216.00,
SFBR-RR-CIN-XX,Rails & Ladder Cinnamon Futon Bunk,(Box 3) 20.5 x 79.1 x 5.1,61.7,$129.00,
SFBS-CIN-XX,Slats for Cinnamon Futon Bunk,(Box 4) 12.6 x 40.6 x 3.5,22,$45.00,
SB-FUL-XX,Full Size Shoe Fitting Body,(Box 2) 33.1 x 78 x 4.9,75,$227.00,
,,,,,
GIN-T/F-XX,GINGER TWIN/FULL BUNK,(Bed) 83.1 x 58.7 x 67.5,278.9,$616.00,
PBTF1-RR-GIN-XX,Upper Bunk Ginger Headboard/Footboard,(Box 1) 36.2 x 45.3 x 4.7,50.7,$113.00,
PBTF2-RR-GIN-XX,Lower Bunk Ginger Headboard/Footboard,(Box 2) 39.2 x 61.8 x 4.7,79.4,$185.00,
PBTF3-XX,Twin Slat Bundle Pack,(Box 3) 9.6 x 40.2 x 4.3,20.9,$46.00,
PBTF4-XX,Full Slat Bundle Pack,(Box 4) 9.6 x 56.1 x 4.3,38.6,$67.00,
PBTF5-RR-XX,Ladder/Rails Twin/Full Ginger Bunk,(Box 5) 20.1 x 78.1 x 8.3,89.3,$205.00,
,,,,,
GIN-F/F-XX,GINGER FULL /FULL BUNK,(Bed) 83.1 x 58.7 x 69.5,318.6,$699.00,
PBFF1-RR-GIN-XX,Full/Full Bunk Upper Upper Head/Footboard,(Box 1) 37.4 x 61.8 x 4.7,79.4,$165.00,
PBFF2-RR-GIN-XX,Full/Full Bunk Lower Upper Head/Footboard,(Box 2) 39.2 x 61.8 x 4.7,79.4,$185.00,
PBFF3-RR-XX,Full/Full Bunk Rails & Ladder,(Box 3) 20.1 x 78.1 x 8.3,89.3,$206.00,
PBFF4-XX,Full/Full Slats,(Box 4) 9.6 x 56.1 x 8.1,70.5,$143.00,
,,,,,
PEP-T/T-XX,PEPPERMINT TWIN/TWIN STAIRCASE BUNK,,286.6,$772.00,
PBB-PEP-1-XX,Headboard/Footboards,(Box 1) 37.8 x 45.1 x 5.1,66.1,$195.00,
PBB-PEP-2-XX,Guard Rails & Rails,(Box 2) 19.1 x 79.3 x 4.3,57.3,$149.00,
PBB-PEP-4-XX,Stair Sides & Handrail,(Box 4) 48.2 x 44.7 x 4.5,46.3,$170.00,
PBB-PEP-5-XX,"Steps, Panels, Rear Handrail & Shelves",(Box 5) 21.9 x 29.9 x 5.1,37.5,$93.00,
PBB-PEP-6-XX,Drawers Peppermint Bunk,(Box 6) 20.1 x 26.2 x 5.9,38.6,$88.00,
PBS,Slats Twin/Twin Peppermint Bunk,(Box 7) 9.6 x 40.7 x 8.7,40.8,$77.00,
,,,,,
PEP-T/F-XX,PEPPERMINT TWIN/FULL STAIRCASE BUNK,(Bed) 97.5 x 57.6 x 65.1,323,$874.00,
PBB-PEP-1-XX,Headboard/Footboards,(Box 1) 37.8 x 45.1 x 5.1,66.1,$195.00,
PBB-PEP-2-XX,Guard Rails & Rails,(Box 2) 19.1 x 79.3 x 4.3,57.3,$149.00,
PBB-PEP-4-XX,Stair Sides & Handrail,(Box 4) 48.2 x 44.7 x 4.5,46.3,$170.00,
PBB-PEP-5-XX,"Steps, Panels, Rear Handrail & Shelves",(Box 5) 21.9 x 29.9 x 5.1,37.5,$93.00,
PBB-PEP-6-XX,Drawers Peppermint Bunk,(Box 6) 20.1 x 26.2 x 5.9,38.6,$88.00,
PBS,Slats Twin/Twin Peppermint Bunk,(Box 7) 9.6 x 40.7 x 8.7,40.8,$77.00,
